GDPPC_GROWTH,ABSLATIT,AIRDIST,AVELF,BRIT,BUDDHA,CATH00,CIV72,COLONY,CONFUC,DENS60,DENS65C,DENS65I,DPOP6090,EAST,ECORG,ENGFRAC,EUROPE,FERTLDC1,GDE1,GDPCH60L,GEEREC1,GGCFD3,GOVNOM1,GVR61,H60,HERF00,HINDU00,IPRICE1,LAAM,LANDAREA,LANDLOCK,LHCPC,LIFE060,LT100CR,MALFAL66,MINING,MUSLIM00,NEWSTATE,OIL,OPENDEC1,ORTH00,OTHFRAC,P60,PI6090,SQPI6090,PRIGHTS,POP1560,POP60,POP6560,PRIEXP70,PROT00,RERD,REVCOUP,SAFRICA,SCOUT,SIZE60,SOCIALIST,SPAIN,TOT1DEC1,TOTIND,TROPICAR,TROPPOP,WARTIME,WARTORN,YRSOPEN,ZTROPICS
2.45,29.996,3250,0.023062,1,0,0.072,0.1667,1,0,38.4017,64.09662,21.52594,0.023792,0,1,0,0,1.80237,0.062,6.695799,0.045,0.01,0.21,0.177,0.05,0.67591,0,287.27,0,995450,0,4.374995,46.4,0.39,0.028,0.03,0.811,1,0,0.358,0.066,0.97,0.66,9.214771,84.911996,5.11,0.4243,25922,0.032829,0.729,0.114,168,0.16,0,1,16.858646,0,0,0.010265,0.406897,0.1658,0.12488,0.08,1,0,0
2.46,25.274,5860,0.742197,1,0.01,0.007,0.6667,1,0,6.7214,238.6484,153.134,0.022118,0,3,0,0,1.761128,0.028,6.641182,0.021,0.05,0.09,0.281,0.03,0.684086,0.815,57.24,0,2973190,0,1.827014,42.5,0.25,0.13186,0.02,0.137,2,0,0.095,0.001,0,0.61,7.293534,53.195636,2,0.3974,442344,0.034322,0.48,0.009,94,0.12,0,0,19.641025,0,0,-0.019845,0.248276,0.5119,0.3929,0.04,1,0.02,0.459245
2.55,18.561,2420,0.010831,0,0,0.978,0.8333,1,0,14.9737,78.66887,0,0.026829,0,3,0,0,1.814336,0.039,7.085901,0.0187,0.05,0.17,0.1203,0.01,0.956888,0,90.57,1,48380,0,-4.60517,52.2,1,0.938,0.02,0,0,0,0.431,0,0.87,0.98,11.294231,127.559661,2.17,0.4682,3231,0.030331,0.804,0.002,129,0.36,0,0,15.166448,0,0,0.065233,0.17931,1,0,0.04,1,0,0
2.57,48.161,240,0.043755,0,0,0.47,1,0,0,6.3008,120.6083,239.8791,0.002908,0,5,0,1,0.734769,0.045,8.790269,0.0211,0.04,0.17,0.0839,0.06,0.484274,0,66.44,0,349270,0,2.870741,69.4,0.94,0,0,0,0,0,0.3965,0,0.949,1,3.493565,12.204993,1,0.2133,55433,0.108455,0.109,0.513,109,0.08,0,1,19.713199,0,0,0.002072,0.482759,0,0,0,0,0.8,0
2.57,41.202,2520,0.163568,0,0,0.18,0.5,0,0,27.9774,56.84623,30.27788,0.024306,0,3,0,0,1.670721,0.05,7.391415,0.0268,0.09,0.14,0.0322,0.03,0.631418,0,44.48,0,769630,0,1.636896,50.5,0.39,0,0.02,0.773,1,0,0.156,0.176,0.014,0.75,23.526709,553.506017,3.33,0.412,27509,0.035334,0.911,0.038,99,0.31,0,0,17.613684,0,0,-0.0389,0.193103,0,0,0.08,1,0.13,0
2.63,48.857,440,0.145484,0,0,0.971,0.8333,0,0,12.0414,88.70178,88.60191,0.007078,0,4,0,1,0.925052,0.059,8.669571,0.0231,0.03,0.17,0.0799,0.08,0.94334,0,82.04,0,550100,0,1.293263,70.4,0.85,0,0,0.001,0,0,0.3055,0,1.004,1,6.417261,41.181236,1,0.2638,45684,0.116387,0.253,0.022,98,0,0,0,19.399074,0,0,0.000389,0.786207,0,0,0,0,0.8,0
2.63,25.583,7580,0.411111,0,0,0.966,0.1667,1,0,223.9572,0,5.162346,0.029773,0,3,0,0,1.793924,0.017,7.070724,0.0138,0.01,0.09,0.1182,0.02,0.934312,0,92.6,1,397300,1,-4.60517,63.9,0.32,0.034,0,0,0,0,0.2995,0,0.036,0.98,11.725718,137.492461,4.94,0.4606,1774,0.032695,0.911,0,141,0.08,0,0,14.551716,0,1,-0.028768,0.234483,0.5614,0.5,0,0,0.13,0.150223
2.68,50.837,190,0.363834,0,0,0.988,1,0,0,3.5857,420.7111,161.5809,0.002494,0,5,0,1,0.806029,0.035,8.611594,0.0463,0.03,0.15,0.0297,0.09,0.976214,0,69.91,0,32820,0,-4.60517,69.7,0.99,0,0,0,0,0,0.974,0,0.345,1,4.838405,23.41016,1,0.2352,9153,0.119633,0.238,0.001,100,0,0,1,17.733431,0,0,-0.000693,0.572414,0,0,0,0,0.78,0
2.69,29.595,9320,0.209762,1,0,0.015,0.5,1,0,34.8851,0,31.72982,0.02361,0,5,0,0,1.757858,0,5.746203,0.0459,0.03,0.11,0.0291,0,0.802942,0,71.53,0,30350,1,-4.60517,47.7,0,0,0,0,2,0,0.802,0,0,0.83,8.898934,79.191033,5.22,0.4055,870,0.039081,0.933,0.094,126,0.05,1,0,12.514696,0,0,-0.0162,0.075862,0,0,0,0,0.37,0
2.72,60.212,1640,0.105,0,0,0.017,0.8333,0,0,68.7562,33.61261,7.619513,0.004215,0,4,0,1,0.648673,0.019,8.573763,0.0446,0.04,0.15,0.0624,0.07,0.964614,0,59.9,0,304590,0,-4.60517,68.5,0.29,0,0,0,1,0,0.4775,0.017,0,0.97,7.336706,53.827256,1.83,0.3041,4430,0.072009,0.333,0.982,126,0,0,0,16.969917,0,0,0.002455,0.586207,0,0,0,0,0.78,0
2.77,0.372,5790,0.796667,0,0,0.054,0.1667,1,0,530.1852,3.438613,1.382892,0.030233,0,5,0,0,1.437938,0.01,7.489412,0.0224,0.13,0.15,0.0606,0,0.877262,0,115.11,0,257670,0,6.657253,40.9,0.27,1,0.22,0,2,1,1.055,0,0.06,1,6.912999,47.789552,6,0.3246,486,0.063786,0.91,0.011,169,0.12,1,0,13.675621,0,0,0.073571,0.234483,1,0.6198,0,0,0,0.166902
2.89,48.231,840,0.033212,0,0,0.944,1,0,0,11.7381,66.78308,88.04961,0.002368,0,4,0,1,0.858238,0.012,8.545392,0.0248,0.04,0.15,0.1142,0.08,0.89265,0,74.54,0,82730,1,2.858482,68.8,0.62,0,0,0,1,0,0.565,0.023,0.98,1,4.349913,18.921746,1,0.2213,7048,0.12046,0.198,0.027,100,0,0,0,17.405891,0,0,0.00153,0.324138,0,0,0,0,0.78,0
2.9,33.458,3290,0.094792,0,0,0.103,0,1,0,40.2938,62.65871,23.97632,0.033415,0,1,0,0,2.041869,0.075,7.362011,0.0304,0.09,0.15,0.01,0.04,0.704255,0,43.68,0,183780,0,5.134337,50,0.14,0.0644,0.08,0.831,2,0,0.4095,0.081,0.798,0.65,10.45873,109.385041,5.83,0.4441,4561,0.03793,0.906,0.054,78,0.85,0,0,15.787308,1,0,0.029546,0.317241,0,0,0.08,1,0.33,0
2.94,19.557,7700,0.055781,0,0,0.953,0.3333,1,0,116.4905,36.76809,7.235476,0.024528,0,3,0,0,1.614625,0.017,7.486613,0.0041,0.06,0.16,0.1199,0.02,0.909588,0,48.22,1,8456510,0,2.844228,54.9,0.21,0.4005,0.02,0.001,0,0,0.1485,0,0.998,0.95,72.06443,5193.282002,3.39,0.4357,72594,0.028969,0.858,0.009,97,0.12,0,0,18.679251,0,0,-0.016508,0.489655,0.9308,0.3378,0,0,0.09,0.33407
2.98,45.415,1270,0.038868,0,0,0.996,0.8333,0,0,5.8578,169.9543,202.5813,0.004732,0,3,0,1,0.902597,0.032,8.425955,0.0303,0.02,0.15,0.0717,0.07,0.992022,0,55.6,0,294060,0,3.002363,69.4,0.86,0,0,0,0,0,0.3275,0,0.006,1,8.751709,76.59241,1.22,0.2493,50200,0.093108,0.168,0.001,92,0.04,0,1,19.249725,0,0,-0.022859,0.703448,0,0,0,0,0.8,0
3.03,32.084,3300,0.327056,1,0,0.065,0.6667,1,0,9.754,131.6355,21.76648,0.026064,0,4,0,0,1.326279,0.064,8.153925,0.0368,0.05,0.18,0.1422,0.1,0.705736,0,94.21,0,20620,0,-0.221944,71.7,0.92,0,0.01,0.833,2,0,0.638,0.046,0.338,0.98,35.029214,1227.045833,2,0.3604,2114,0.048723,0.295,0.015,110,0,0,0,15.810262,0,0,-0.015662,0.303448,0,0,0.08,1,0.22,0
3.12,33.593,2175,0.347972,0,0,0.005,0.5,1,0,38.3881,51.21938,17.41801,0.025559,0,3,0,0,1.936293,0.027,6.703188,0.0305,0.02,0.14,0.0635,0,0.930222,0,120.1,0,446300,0,-0.76733,46.9,0.38,0,0.03,0.964,2,0,0.396,0,0.74,0.47,5.81,33.756099,4.17,0.4487,11626,0.02589,0.903,0.001,123,0.08,0,0,16.064187,0,0,0.031845,0.275862,0,0,0.44,1,0.44,0
3.18,59.977,1000,0.069884,0,0,0.001,1,0,0,85.6828,22.41369,2.763691,0.005482,0,4,0,1,0.948564,0.034,8.632306,0.0349,0.09,0.15,0.0621,0.07,0.984102,0,79.39,0,306830,0,8.032375,73.4,0.48,0,0.08,0,0,0,0.851,0,0,1,6.589457,43.420941,1,0.2588,3581,0.111142,0.446,0.992,107,0,0,0,16.815703,0,0,0.007196,0.668966,0,0,0,0,0.78,0
3.28,36.816,1740,0.070252,0,0,0.074,0.3333,1,0,36.8064,51.07906,10.18829,0.022372,0,4,0,0,1.868875,0.019,7.003974,0.0369,0.06,0.18,0.1151,0.01,0.773602,0,110.44,0,155360,0,4.074633,48.6,0.47,0,0.08,0.875,2,0,0.5205,0,0.986,0.66,5.493856,30.182454,5.61,0.4337,4221,0.041696,0.808,0.001,104,0,0,0,15.351801,0,0,0.043078,0.37931,0,0,0,0,0.13,0
3.43,38.058,2130,0.077778,0,0,0.851,0.1667,0,0,15.4798,69.06823,30.08471,0.006873,0,4,0,1,0.871293,0.041,7.646354,0.0137,0.07,0.13,0.0643,0.04,0.740986,0,65.51,0,128900,0,1.598076,68.8,0.93,0,0.02,0.128,0,0,0.3155,0.833,0,1,10.927195,119.403589,1.94,0.2646,8327,0.082503,0.654,0.001,116,0.2,0,0,16.673612,0,0,-0.020582,0.448276,0,0,0.08,1,0.8,0
3.55,37.398,1420,0.274516,0,0,1,0.1667,0,0,16.3993,98.96389,39.98909,0.00883,0,5,0,1,1.055705,0.02,8.046549,0.0097,0.03,0.1,0.0793,0.04,1,0,48.44,0,499440,0,0.675398,68.9,0.46,0,0.01,0,0,0,0.2705,0,0.728,1,9.586528,91.901513,2.39,0.2741,30455,0.082056,0.465,0,89,0.08,0,0,18.370555,0,0,-0.025677,0.848276,0,0,0,0,0.78,0
3.73,54.611,800,0.090357,1,0,0.896,0.8333,1,0,24.3084,42.4618,34.21706,0.008975,0,5,0.74,1,1.348073,0.014,8.105006,0.0286,0.04,0.15,0.0964,0.08,0.813426,0,67.58,0,68890,0,2.718957,69.7,0.91,0,0.01,0,1,0,0.823,0,0,1,8.290561,68.733394,1,0.3111,2834,0.111856,0.593,0.103,119,0,0,1,16.05445,0,0,0.002461,0.406897,0,0,0,0,0.64,0
4.06,3.269,5380,0.61037,1,0.27,0.008,0.6667,1,0.01,40.3624,32.95543,13.33214,0.026187,1,5,0,0,1.710549,0.02,7.258412,0.0281,0.07,0.16,0.0929,0.01,0.322686,0.102,61.59,0,328550,0,6.262983,54.3,0.8,0.62216,0.1,0.488,2,0,0.7645,0,0.309,0.96,3.266814,10.672076,3.11,0.4496,8140,0.034152,0.926,0.007,88,0.04,0,1,16.262958,0,0,-0.02318,0.158621,1,0.1217,0,0,1,0.337988
4.09,38.816,1750,0.0025,0,0,0.999,0.1667,0,0,10.4181,141.8488,33.13247,0.005991,0,4,0,1,1.043452,0.062,7.533159,0.0138,0.09,0.15,0.0522,0.04,0.998002,0,62.74,0,91950,0,-4.60517,63.7,0.69,0,0.03,0,0,0,0.5825,0,1,1,12.281772,150.841917,2.22,0.2914,8826,0.079878,0.361,0,92,0.28,0,0,16.618616,0,0,-0.0093,0.448276,0,0,0,0,0.78,0
4.45,6.562,5800,0.690568,0,0.01,0.001,0.3333,1,0,18.8325,76.17235,8.972233,0.021886,1,3,0,0,1.693227,0.042,6.458338,0.0174,0.05,0.1,0.0656,0.01,0.380444,0.02,40.19,0,1811570,0,4.00041,41.5,0.75,0.41678,0.12,0.4,2,1,0.298,0,0.009,0.71,36.551252,1335.994051,5,0.4,96194,0.03336,0.986,0.012,98,0.28,0,1,17.932461,0,0,0.073571,0.068966,1,0.044,0.04,1,0.56,0.446525
4.67,35.712,140,0.00988,0,0.87,0.004,1,0,0,4.0014,272.176,113.0167,0.009468,1,5,0,0,0.739076,0.01,7.990915,0.0317,0.07,0.1,0.0803,0.09,0.671693,0,75.02,0,376520,0,0.114511,67.7,0.94,0,0,0,0,0,0.205,0.001,0,1,5.422104,29.399209,1.44,0.3023,94096,0.057356,0.067,0.006,118,0,0,1,19.442986,0,0,-0.019352,0.275862,0,0,0,0,0.73,0
4.74,21.536,8760,0.3775,1,0,0.001,0.5,1,0,1178.2328,0,0.968715,0.03315,0,5,0,0,1.929781,0.035,6.282267,0.03,0.08,0.21,0.134,0,0.754614,0,62.95,0,566730,1,-4.60517,45.7,0,0.76,0.53,0,2,0,0.8515,0,0,0.42,7.561942,57.182974,2.06,0.4759,481,0.033264,0.75,0.142,131,0,1,0,12.458134,0,0,-0.0492,0.013793,0.7025,0.5,0,0,0.36,0.008366
5.15,13.77,4620,0.356949,0,0.95,0.003,0.3333,0,0,19.3578,86.4634,50.05057,0.025667,1,3,0,0,1.709102,0.025,6.849066,0.0181,0.03,0.12,0.0789,0.02,0.82902,0.001,52.81,0,510890,0,2.558825,52.7,0.28,0.57876,0.02,0.015,0,0,0.386,0,0.023,0.83,5.191055,26.947053,3.94,0.4561,26392,0.02747,0.92,0.002,75,0.44,0,0,17.029883,0,0,-0.011507,0.075862,1,0.6276,0.04,1,1,0.593959
5.94,22.704,2940,0.236821,1,0.3,0.01,0.8333,1,0.3,0.322,3729.293,0,0.021764,1,5,0,0,1.243866,0.004,7.717351,0.0168,0.02,0.08,0.0162,0.04,0.80589,0.001,70.6,0,990,0,-4.60517,66,1,0.046,0,0.003,0,0,1.693,0,0.98,0.87,6.209207,38.554246,3.61,0.4089,3075,0.027968,0.041,0.012,116,0,0,1,15.748411,0,0,0.0174,0,1,0,0,0,1,0
6.36,37.553,1150,0,0,0.16,0.004,0.1667,0,0.6,3.9487,310.6865,111.1199,0.018594,1,3,0,0,1.454187,0.051,6.806829,0.0352,0.05,0.14,0.0618,0.05,0.679174,0,65.71,0,98730,0,-4.60517,54.2,0.89,0,0.01,0,2,0,0.4195,0,0,0.94,11.373424,129.35477,4.44,0.4195,25003,0.033276,0.234,0.001,110,0.4,0,1,16.93358,0,0,-0.006744,0.02069,0,0,0,0,0.6,0
6.58,25.259,2130,0.255056,0,0.31,0.001,0.3333,0,0.31,2.9893,391.4445,0,0.021919,1,3,0,0,1.373716,0.1,7.135687,0.0142,0.08,0.22,0.1068,0.05,0.613066,0,59.21,0,32260,0,-4.60517,65.4,1,0,0.02,0.002,2,0,0.608,0,0.99,0.96,5.4087,29.25404,5.17,0.4539,10792,0.024833,0.163,0.002,116,0.05,0,1,16.422248,0,0,-0.021001,0,0.3675,0,0,0,0.71,0
6.91,1.355,5300,0.321529,1,0.46,0.022,0.3333,1,0.15,0.3733,3081.967,0,0.016857,1,4,0.09,0,1.23256,0.003,7.413367,0.0334,0.05,0.12,0.0436,0.06,0.328758,0.075,86.98,0,610,0,-4.60517,63.7,1,0,0,0.22,2,0,2.461,0,0.713,1,3.42544,11.733637,4.5,0.4322,1634,0.020808,0.695,0.018,87,0,0,1,14.812154,0,0,0.0194,0.144828,1,0,0,0,1,1
